Time(s),Position(m),Velocity(m/s),Acceleration(m/s^2)
73.14,0.0053165,-0.0126243056,-0.0178645833
73.16,0.0053165,-0.0128625,0.0291126543
73.18,0.004802,-0.0126243056,0.1104957562
73.2,0.0046305,-0.0047638889,-0.0013233025
73.22,0.004802,-0.008575,-0.2451417824
73.24,0.004459,-0.01715,-0.3027054398
73.26,0.004459,-0.0371583333,0.3056828704
73.28,0.001715,-0.0042875,0.810853588
73.3,0.0042875,0.0252486111,0.0539245756
73.32,0.004116,-0.0019055556,-0.6973804012
73.34,0.0042875,-0.03215625,-0.2825250772
73.36,0.0015435,-0.0147680556,0.2352170139
73.38,0.0036015,0.0088131944,-0.4548852238
73.4,0.003773,-0.0426368056,-0.7476658951
73.42,0.0008575,-0.0519263889,0.2729311343
73.44,0.000686,-0.01929375,1.4288358411
73.46,0.0008575,-0.0102423611,4.5167621528
73.48,0.0001715,0.0288215278,15.4412856867
73.5,0.0005145,0.44804375,27.9875163966
73.52,0.002058,1.2764840278,26.8286342592
73.54,0.02058,3.0538909722,-36.251871142
73.58,-0.0015435,-3.1908527778,-25.6128501157
73.6,-0.0005145,-1.0606798611,32.4023842592
73.62,-0.0012005,-0.3527659722,26.819371142
73.64,-0.0012005,-0.0054784722,13.0398225309
73.66,-0.0012005,-0.0116715278,2.7759577546
73.68,-0.001715,-0.0140534722,0.4694415509
73.7,-0.0018865,-0.0119097222,0.1052025463
73.72,-0.0022295,-0.0073840278,0.1290219907
73.74,-0.002058,-0.0069076389,0.1439091435
73.76,-0.0025725,-0.0040493056,0.2415027006
73.78,-0.002401,0.0061930556,0.1955179398
73.8,-0.002058,0.0052402778,0.0952777778
73.82,-0.0022295,0.0061930556,0.1578038194
73.84,-0.0018865,0.0104805556,0.2600289352
73.86,-0.0018865,0.0181027778,0.286164159
73.88,-0.0012005,0.0266777778,0.1055333719
73.9,-0.0005145,0.0219138889,-0.0403607253
73.92,-0.000343,0.0183409722,0.1167814429
73.94,0,0.0242958333,0.3850810185
73.96,0.0005145,0.0378729167,0.4264342207
73.98,0.0015435,0.0471625,0.1594579475
74,0.002401,0.0524027778,-0.3572916667
74.02,0.0046305,0.0209611111,-0.3056828704
74.04,0.002744,0.0123861111,0.8164776235
74.06,0.0032585,0.07931875,0.7605680941
74.08,0.0073745,0.0814625,-0.9349131944
74.1,0.007889,0.0226284722,-1.7470900849
74.12,0.0080605,-0.0266777778,-0.8412895448
74.14,0.0056595,-0.0247722222,0.7152449846
74.16,0.0056595,0.0400166667,0.6758767361
74.18,0.009261,0.0245340278,-0.4009606481
74.2,0.0070315,-0.0095277778,-0.1872472994
74.22,0.0073745,0.0140534722,0.2097434414
74.24,0.008232,0.0140534722,0.0757590664
74.26,0.0080605,0.0126243056,0.0744357639
74.28,0.008575,0.0145298611,0.1313377701
74.3,0.008575,0.0197701389,0.1293528164
74.32,0.0094325,0.0226284722,-0.0102555941
74.34,0.009604,0.0185791667,-0.1048717207
74.36,0.0101185,0.0164354167,-0.0370524691
74.38,0.0104615,0.0102423611,0.3443894676
74.4,0.0101185,0.0233430556,0.9210185185
74.42,0.010633,0.0659798611,0.6189747299
74.44,0.01372,0.0662180556,-0.4763888889
74.46,0.014063,0.0307270833,-0.8952141204
74.48,0.014406,0.0147680556,-0.5954861111
74.5,0.014406,0.0102423611,-0.3744945988
74.52,0.014749,0.0090513889,-0.5372608025
74.54,0.015092,-0.0069076389,-0.8356655093
74.56,0.0149205,-0.0390638889,-0.439998071
74.58,0.0128625,-0.0402548611,0.6712451775
74.6,0.0125195,-0.0023819444,1.3434828318
74.62,0.013034,0.02786875,1.2432426698
74.64,0.0135485,0.05788125,0.5263435571
74.66,0.0159495,0.0564520833,-0.5495013503
74.68,0.016464,0.02358125,-1.0702208719
74.7,0.016464,0.0035729167,-1.0414390432
74.72,0.0166355,-0.0164354167,-0.8909133873
74.74,0.016121,-0.0438277778,-0.1478790509
74.76,0.014063,-0.0309652778,0.922341821
74.78,0.014406,0.0052402778,1.358039159
74.8,0.0142345,0.042875,0.8300414738
74.82,0.016807,0.0481152778,-0.1984953704
74.84,0.016807,0.0209611111,-0.6239371142
74.86,0.01715,0.0121479167,-0.4882986111
74.88,0.0173215,0.0026201389,-0.3070061728
74.9,0.01715,0.0004763889,-0.1369618056
74.92,0.0173215,-0.0007145833,-0.0942853009
74.94,0.01715,-0.0028583333,-0.0999093364
74.96,0.01715,-0.0026201389,-0.2415027006
74.98,0.01715,-0.0100041667,-0.486644483
75,0.016807,-0.0207229167,-0.6973804012
75.02,0.016807,-0.0490680556,-0.3586149691
75.04,0.0142345,-0.0495444444,0.6381626157
75.06,0.014063,-0.0126243056,1.156566358
75.08,0.0142345,0.00643125,1.1095891204
75.1,0.0138915,0.0400166667,0.5435464892
75.12,0.016464,0.0409694444,-0.6153356481
75.14,0.0162925,0.0045256944,-1.2515133102
75.16,0.0162925,-0.0204847222,-1.2419193673
75.18,0.015778,-0.0554993056,-0.616328125
75.2,0.013377,-0.0550229167,0.4959076003
75.22,0.013034,-0.0259631944,1.1456491127
75.24,0.0125195,-0.0004763889,1.2624305556
75.26,0.012691,0.0357291667,0.7367486497
75.28,0.0145775,0.0397784722,-0.2812017747
75.3,0.0149205,0.0138152778,-0.8045679012
75.32,0.0149205,-0.0061930556,-0.669921875
75.34,0.014406,-0.0140534722,-0.4323890818
75.36,0.0142345,-0.0166736111,-0.4720881559
75.38,0.0138915,-0.0264395833,-0.7407185571
75.4,0.01372,-0.0564520833,-0.5346141975
75.42,0.0111475,-0.0638361111,0.352660108
75.44,0.01029,-0.03215625,0.7979513889
75.46,0.01029,-0.0159590278,0.5058323688
75.48,0.009947,-0.0128625,0.1574729938
75.5,0.0097755,-0.0135770833,-0.0430073302
75.52,0.0094325,-0.0166736111,-0.0989168596
75.54,0.0090895,-0.0183409722,-0.0836988812
75.56,0.0087465,-0.0216756944,0.0122405478
75.58,0.0080605,-0.0178645833,0.1131423611
75.6,0.0080605,-0.0152444444,0.1498640046
75.62,0.007546,-0.0133388889,0.1978337191
75.64,0.0073745,-0.0080986111,0.2090817901
75.66,0.00686,0.0080986111,-0.2312471065
75.68,0.008918,-0.0214375,-0.4257725694
75.7,0.005831,-0.0416840278,0.6616512346
75.72,0.005145,0.0233430556,0.9104320988
75.74,0.0080605,0.0338236111,-0.5309751157
75.76,0.0077175,-0.0119097222,-1.3954224537
75.78,0.007203,-0.0445423611,-1.201558642
75.8,0.0060025,-0.0778895833,-0.1422550154
75.82,0.002401,-0.0373965278,0.420148534
75.84,0.005488,-0.0343,-0.1773225309
75.86,0.0018865,-0.0657416667,0.0261352238
75.88,0.001372,-0.0381111111,0.4290808256
75.9,0.001029,-0.03644375,0.3784645062
75.92,-0.0001715,-0.0276305556,0.4532310957
75.94,-0.000343,-0.0121479167,0.2206606867
75.96,-0.0001715,-0.0169118056,-0.0575636574
75.98,-0.001029,-0.0216756944,-0.0205111883
76,-0.0012005,-0.0200083333,0.1356385031
76.02,-0.0018865,-0.01500625,0.249773341
76.04,-0.0018865,-0.0059548611,0.1786458333
76.06,-0.0018865,-0.0073840278,0.0817139275
76.08,-0.0022295,-0.00643125,0.1406008873
76.1,-0.0022295,-0.0023819444,0.2276080247
76.12,-0.002401,0.0052402778,0.2137133488
76.14,-0.0018865,0.0076222222,0.1257137346
76.16,-0.002058,0.0078604167,0.1237287809
76.18,-0.001715,0.0135770833,0.0731124614
76.2,-0.001372,0.0126243056,-0.0545862269
76.22,-0.0012005,0.0109569444,0.3149459877
76.24,-0.0008575,0.0050020833,2.7025144676
76.26,-0.001029,0.0004763889,13.0427999614
76.28,-0.0008575,0.3425236111,27.0340769676
76.3,-0.0012005,1.0640145833,32.8136005015
76.32,-0.001029,3.2065736111,-25.4312268519
76.36,0.021266,-3.0410284722,-36.2383072917
76.38,0.0032585,-1.2736256944,27.0559114583
76.4,0.000343,-0.4187458333,28.0791550926
76.42,0.003087,0.0014291667,14.4722974537
76.44,0.00343,-0.0211993056,3.4647366898
76.46,0.001029,-0.0190555556,1.4321440972
76.48,0.0012005,0.0373965278,0.6623128858
76.5,0.0039445,0.0369201389,-0.6848090278
76.52,0.004116,-0.0214375,-0.7003578318
76.54,0.001715,-0.0247722222,0.6877864583
76.56,0.001715,0.0323944444,1.0024016204
76.58,0.004116,0.0469243056,-0.1134731867
76.6,0.004459,0.0181027778,-0.8882667824
76.62,0.0046305,-0.0052402778,-0.8277256944
76.64,0.004459,-0.0331090278,0.0966010802
76.66,0.0018865,0.0016673611,0.861800733
76.68,0.0046305,0.0331090278,0.2004803241
76.7,0.004459,0.0092895833,-0.4916068673
76.72,0.0046305,-0.0009527778,-0.5227044753
76.74,0.004802,-0.0259631944,0.1267062114
76.76,0.002401,0.0023819444,0.8426128472
76.78,0.004802,0.0347763889,0.3642390046
76.8,0.0049735,0.0178645833,-0.2199990355
76.82,0.005145,0.0128625,-0.2769010417
76.84,0.005488,0.0054784722,-0.1889014275
76.86,0.0053165,0.0035729167,0.0211728395
76.88,0.005488,0.0080986111,0.1247212577
76.9,0.0056595,0.0116715278,0.076089892
76.92,0.0060025,0.0131006944,-0.0688117284
76.94,0.0063455,0.0069076389,-0.1233979552
76.96,0.006174,0.0052402778,-0.0360599923
76.98,0.006517,0.0054784722,0.0645109954
77,0.0063455,0.008575,0.1329918981
77.02,0.00686,0.0121479167,0.1220746528
77.04,0.00686,0.0138152778,0.0807214506
77.06,0.0073745,0.0169118056,-0.0284510031
77.08,0.0077175,0.0116715278,-0.0903153935
77.1,0.0077175,0.0114333333,-0.05359375
77.12,0.008232,0.0095277778,-0.0145563272
77.14,0.0080605,0.0092895833,0.0724508102
