Time(s),Position(m),Velocity(m/s),Acceleration(m/s^2)
81.88,-0.0008575,0.0847972222,0.6308844522
81.9,0.000686,0.0814625,0.317261767
81.92,0.002058,0.0917048611,0.1505256559
81.94,0.0042875,0.0969451389,-0.3830960648
81.96,0.006517,0.0778895833,-0.822101659
81.98,0.007889,0.0421604167,-0.2755777392
82,0.007203,0.0512118056,5.0920679012
82.02,0.008918,0.1040909722,30.2665740741
82.04,0.012348,0.1119513889,138.33076196
82.06,0.014406,3.1036736111,343.566373457
82.08,0.0156065,12.1386270833,516.650366512
82.1,0.0138915,36.3818194444,126.476618441
82.16,0.0197225,-9.0409083333,-238.791253858
82.2,0.0245245,-30.1497,88.8303173225
82.22,0.023667,-8.97159375,403.585749421
82.24,0.028126,-2.9033520833,255.743420139
82.26,0.0300125,0.0764604167,116.656059992
82.28,0.030527,0.0607395833,24.7523726852
82.3,0.0320705,0.0602631944,4.211410108
82.32,0.0327565,0.0702673611,0.0813831019
82.34,0.034986,0.07503125,-0.3602690972
82.36,0.0365295,0.0474006944,-0.4284191744
82.38,0.036358,0.0421604167,0.1984953704
82.4,0.03773,0.0614541667,0.5131105324
82.42,0.0389305,0.0740784722,0.2133825231
82.44,0.040474,0.0895611111,-0.9107629244
82.46,0.044247,0.0307270833,-1.6213763503
82.48,0.041503,-0.0176263889,-0.4529002701
82.5,0.0416745,0.0138152778,0.757259838
82.52,0.0423605,0.0395402778,0.8565075231
82.54,0.0437325,0.0502590278,0.7030044367
82.56,0.044247,0.0616923611,0.6798466435
82.58,0.045962,0.0814625,0.493591821
82.6,0.0478485,0.0862263889,0.5329600694
82.62,0.0495635,0.0824152778,2.4213126929
82.64,0.051107,0.0776513889,11.3430179398
82.66,0.052822,0.3775381944,23.0717785494
82.68,0.0536795,0.9939854167,27.3678800154
82.7,0.0550515,2.8690520833,-25.3147762346
82.74,0.05831,-2.6763527778,-26.3634934414
82.76,0.0629405,-0.8603583333,25.7739621913
82.78,0.0612255,-0.2867861111,22.6367428627
82.8,0.0622545,0.0419222222,11.8902035108
82.82,0.062769,0.0674090278,2.384921875
82.84,0.0663705,0.0376347222,-0.4204793596
82.86,0.0643125,0.0028583333,-0.2305854552
82.88,0.06517,0.0264395833,0.5170804398
82.9,0.0656845,0.0378729167,0.6547038966
82.92,0.0663705,0.0652652778,0.2034577546
82.94,0.0694575,0.0416840278,-0.1346460262
82.96,0.0673995,0.0431131944,0.2365403164
82.98,0.070658,0.0650270833,0.0790673225
83,0.071001,0.0474006944,-0.1045408951
83.02,0.07203,0.0516881944,0.0512779707
83.04,0.073059,0.05359375,0.0549170525
83.06,0.0742595,0.0550229167,0.008601466
83.08,0.0752885,0.0543083333,-0.138285108
83.1,0.0763175,0.0538319444,-0.4664641204
83.12,0.0776895,0.04073125,-0.875695409
83.14,0.0787185,0.0014291667,-0.502193287
83.16,0.076832,0.0007145833,0.6560271991
83.18,0.0773465,0.0569284722,0.6513956404
83.2,0.080948,0.0435895833,-0.0582253086
83.22,0.0794045,0.0181027778,0.5921778549
83.24,0.079576,0.0738402778,0.9147328318
83.26,0.083349,0.0895611111,-0.2345553627
83.28,0.0842065,0.0569284722,-1.1267920525
83.3,0.0852355,0.0323944444,-1.3471219136
83.32,0.0862645,-0.0159590278,-0.6295611497
83.34,0.083349,-0.0092895833,4.7566107253
83.36,0.084378,0.0564520833,24.5644637346
83.38,0.0883225,0.0128625,108.894891011
83.4,0.0852355,2.8885840278,220.087696759
83.42,0.0842065,8.8058104167,258.211048418
83.44,0.0852355,26.453875,-242.757853009
83.48,0.096726,-26.4557805556,
83.5,0.0800905,-8.6128729167,
83.52,0.0842065,-1.8853090278,
83.54,0.096726,2.6975520833,
83.58,0.0828345,-2.5239083333,
83.6,0.0951825,-0.6445541667,
83.62,0.1003275,-0.2651104167,
83.64,0.092953,-0.0574048611,
83.66,0.0941535,0.0209611111,
83.68,0.0944965,0.0919430556,
83.7,0.099127,0.1021854167,
83.72,0.0999845,0.0376347222,
83.74,0.1006705,-0.0295361111,
83.76,0.0975835,-0.0404930556,
83.78,0.098098,0.0019055556,
83.8,0.0979265,0.0373965278,
83.82,0.0992985,0.0778895833,
83.84,0.1023855,0.0576430556,
83.86,0.1023855,0.0007145833,
83.88,0.1006705,0.0123861111,
83.9,0.103586,0.0050020833,
83.92,0.1010135,-0.0061930556,
83.94,0.101528,0.0524027778,
83.96,0.1054725,0.0181027778,
83.98,0.1020425,-0.0042875,
84,0.1029,0.06645625,
84.02,0.10633,0.0669326389,
84.04,0.106673,0.0190555556,
84.06,0.1071875,-0.0371583333,
84.08,0.104272,-0.0495444444,
84.1,0.103929,-0.0023819444,
84.12,0.104958,0.0159590278,
84.14,0.1051295,0.0100041667,
84.16,0.104958,0.0152444444,
84.18,0.1058155,0.0166736111,
84.2,0.1058155,0.0111951389,
84.22,0.1061585,0.0090513889,
84.24,0.1061585,0.0121479167,
84.26,0.1065015,0.0188173611,
84.28,0.10633,0.0497826389,
84.3,0.1099315,0.0228666667,
84.32,0.1065015,0.0195319444,
84.34,0.110103,0.0366819444,
84.36,0.1102745,-0.0378729167,
84.38,0.1071875,-0.0462097222,
84.4,0.107016,0.0100041667,
84.42,0.107359,0.0824152778,
84.44,0.110789,0.1276722222,
84.46,0.114219,0.0890847222,
84.48,0.114562,0.0345381944,
84.5,0.1147335,0.0145298611,
84.52,0.1150765,0.0038111111,
84.54,0.1147335,0.0040493056,
84.56,0.1150765,0.0119097222,
84.58,0.1154195,0.0119097222,
84.6,0.1154195,0.0159590278,
84.62,0.1161055,0.0164354167,
84.64,0.1164485,0.0009527778,
84.66,0.115934,-0.0059548611,
84.68,0.1161055,-0.0076222222,
84.7,0.115591,-0.0061930556,
84.72,0.1157625,0,
84.74,0.1157625,-0.0007145833,
84.76,0.115591,0.0042875,
84.78,0.115934,0.0090513889,
84.8,0.1161055,0.0116715278,
84.82,0.1161055,0.0264395833,
84.84,0.11662,0.0609777778,
84.86,0.1195355,0.0519263889,
84.88,0.1191925,0.0183409722,
84.9,0.119707,0.0059548611,
84.92,0.1195355,-0.0080986111,
84.94,0.119021,-0.0038111111,
84.96,0.119364,0.0019055556,
84.98,0.119364,-0.0023819444,
85,0.119021,0.00214375,
85.02,0.1195355,-0.0026201389,
85.04,0.119364,-0.0323944444,
85.06,0.119021,-0.0969451389,
85.08,0.1154195,-0.1488715278,
85.1,0.111475,-0.1174298611,
85.12,0.1089025,-0.0028583333,
85.14,0.1116465,0.0917048611,
85.16,0.115591,0.05359375,
85.18,0.114905,-0.0431131944,
85.2,0.1109605,-0.0245340278,
85.22,0.114562,-0.0238194444,
85.24,0.110789,-0.0471625,
85.26,0.111475,-0.0226284722,
85.28,0.1102745,-0.0157208333,
85.3,0.110789,-0.0042875,
85.32,0.1106175,-0.0181027778,
85.34,0.1099315,-0.0250104167,
85.36,0.1092455,-0.0181027778,
85.38,0.1092455,-0.0111951389,
85.4,0.1092455,-0.0169118056,
85.42,0.108045,0.0007145833,
85.44,0.1082165,0.05788125,
85.46,0.1116465,0.0528791667,
85.48,0.111818,-0.0197701389,
85.5,0.110789,-0.0807479167,
85.52,0.106673,-0.0624069444,
85.54,0.1061585,0.04501875,
85.56,0.112847,-0.0219138889,
85.58,0.105301,-0.0945631944,
85.6,0.1051295,-0.0119097222,
85.62,0.107359,-0.0219138889,
85.64,0.1044435,-0.0366819444,
85.66,0.104272,0.0011909722,
85.68,0.10633,-0.0335854167,
85.7,0.1030715,-0.0705055556,
85.72,0.101871,-0.0366819444,
85.74,0.1016995,-0.0016673611,
85.76,0.101528,0.04501875,
85.78,0.104615,0.0273923611,
85.8,0.103586,-0.0343,
85.82,0.1041005,-0.13076875,
85.84,0.0958685,-0.1164770833,
85.86,0.0986125,-0.0504972222,
85.88,0.0948395,-0.0343,
85.9,0.096383,0.0073840278,
85.92,0.0996415,2.7894951389,
85.94,0.088151,8.6173986111,
85.96,0.0893515,26.3128638889,
86,0.0883225,-23.4326166667,
86.02,0.090552,-0.0409694444,
86.04,0.0835205,23.8223027778,
86.08,0.1030715,-23.1989479167,
86.12,0.0845495,-6.2192569444,
86.14,0.0848925,-1.0809263889,
86.16,0.085064,-0.3270409722,
86.18,0.087465,-0.0121479167,
86.2,0.083692,-0.0240576389,
86.22,0.0859215,-0.0140534722,
86.24,0.085064,-0.0795569444,
86.26,0.0814625,-0.0886083333,
86.28,0.080605,-0.0557375,
86.3,0.079576,-0.0331090278,
86.32,0.0790615,-0.00643125,
86.34,0.0807765,-0.04073125,
86.36,0.077175,-0.0631215278,
86.38,0.0763175,-0.0116715278,
86.4,0.0780325,-0.0157208333,
86.42,0.0773465,-0.0821770833,
86.44,0.0732305,-0.0874173611,
86.46,0.07203,-0.01929375,
86.48,0.074088,-0.0154826389,
86.5,0.073059,-0.0807479167,
86.52,0.069286,-0.0852736111,
86.54,0.0687715,-0.0495444444,
86.56,0.0680855,-0.0393020833,
86.58,0.067228,-0.0323944444,
86.6,0.0667135,-0.0266777778,
86.62,0.0663705,-0.0290597222,
86.64,0.065513,-0.0309652778,
86.66,0.0649985,-0.0238194444,
86.68,0.0646555,-0.0188173611,
86.7,0.063455,0.0133388889,
86.72,0.0660275,0.0059548611,
86.74,0.06517,-0.0638361111,
86.76,0.0622545,-0.0831298611,
86.78,0.061054,-0.0669326389,
86.8,0.0598535,0.2643958333,
86.82,0.0591675,0.9056152778,
86.84,0.0574525,2.8364194445,
86.88,0.05831,-2.8769125,
86.9,0.0581385,-1.0211395833,
86.92,0.0557375,-0.4416125,
86.94,0.0519645,-0.1233847222,
86.96,0.0502495,-0.0938486111,
86.98,0.048706,-0.0802715278,
87,0.0471625,-0.0724111111,
87.02,0.045619,-0.0597868056,
87.04,0.0447615,-0.0459715278,
87.06,0.0440755,-0.0447805556,
87.08,0.0427035,-0.0290597222,
87.1,0.042875,-0.0164354167,
87.12,0.0416745,0.0119097222,
87.14,0.0447615,-0.0223902778,
87.16,0.040131,-0.0343,
87.18,0.0433895,-0.0416840278,
87.2,0.0389305,-0.0640743056,
87.22,0.038759,-0.0042875,
87.24,0.040474,-0.0202465278,
87.26,0.0392735,-0.0843208333,
87.28,0.0355005,-0.0883701389,
87.3,0.0344715,-0.0338236111,
87.32,0.0358435,-0.0416840278,
87.34,0.032242,-0.0314416667,
87.36,0.0341285,-0.0059548611,
87.38,0.0334425,-0.0545465278,
87.4,0.0313845,2.9388430556,
87.42,0.0327565,8.8467798611,
87.44,0.0197225,30.0034486111,
